application_id,city,zip,application_submission_date,facility_type,sector,pv_capacity_kw,total_system_costs,total_rebate,mounting_location,ppa_lease,payment_status,geothermal_capacity_tons,solar_water_capacity_sq_ft,wind_capacity_kw
R00191,Bethany Beach,19930,2007-03-06 00:00:00,Geothermal,Residential,,41343.0,3000.0,,,Paid,5.5,,
R00199,Millsboro,19966,2007-03-30 00:00:00,Geothermal,Residential,,16835.0,2400.0,,,Paid,4.0,,
R00198,Milton,19968,2007-03-30 00:00:00,Geothermal,Residential,,10960.0,1200.0,,,Paid,2.0,,
R00205,Newark,19711,2007-04-02 00:00:00,Geothermal,Residential,,17200.0,2400.0,,,Paid,4.0,,
R00197,Wilmington,19809,2007-04-10 00:00:00,PV,Residential,5.0,47500.0,22500.0,,,Paid,,,
R00195,Bridgeville,19933,2007-04-10 00:00:00,Geothermal,Residential,,16440.0,1800.0,,,Paid,3.0,,
R00202,Middletown,19709,2007-04-19 00:00:00,Solar Water Heating,Residential,,7375.0,3000.0,,,Paid,,78.0,
R00207,Newark,19711,2007-04-25 00:00:00,Geothermal,Residential,,19397.0,3000.0,,,Paid,5.0,,
R00208,Laurel,19956,2007-04-30 00:00:00,Geothermal,Residential,,16440.0,1800.0,,,Paid,3.0,,
NR00025,Rehoboth Beach,19971,2007-04-30 00:00:00,PV,Non_Residential,21.6,200000.0,107010.0,,,Paid,,,
R00125,Bethel,19931,2007-05-02 00:00:00,Geothermal,Residential,,15815.0,3000.0,,,Paid,9.5,,
NR00026,Lewes,19958,2007-05-02 00:00:00,PV,Non_Residential,23.37,164360.0,82180.0,,,Paid,,,
R00206,Wilmington,19802,2007-05-17 00:00:00,PV,Residential,2.8,21700.0,10850.0,,,Paid,,,
R00211,Newark,19930,2007-05-24 00:00:00,Geothermal,Residential,,26225.0,2400.0,,,Paid,4.0,,
R00204,Dover,19901,2007-05-25 00:00:00,PV,Residential,6.0,45000.0,22500.0,,,Paid,,,
R00212,Smyrna,19977,2007-06-05 00:00:00,Geothermal,Residential,,16000.0,1800.0,,,Paid,3.0,,
R00209,Magnolia,19962,2007-06-05 00:00:00,PV,Residential,4.8,40560.0,20280.0,,,Paid,,,
R00215,South Bethany Beach,19930,2007-06-07 00:00:00,PV,Residential,3.28,32800.0,16400.0,,,Paid,,,
R00213,Wilmington,19801,2007-06-08 00:00:00,PV,Residential,2.0,23900.0,11950.0,,,Paid,,,
R00217,Rehoboth Beach,19971,2007-06-13 00:00:00,Geothermal,Residential,,41040.0,3000.0,,,Paid,7.0,,
R00216,Wilmington,19803,2007-06-13 00:00:00,PV,Residential,4.0,32000.0,16000.0,,,Paid,,,
R00218,Rehoboth Beach,19971,2007-06-22 00:00:00,PV,Residential,1.05,11200.0,5600.0,,,Paid,,,
R00219,Wilmington,19808,2007-06-25 00:00:00,PV,Residential,4.2,37800.0,18900.0,,,Paid,,,
R00221,Dagsboro,19939,2007-06-25 00:00:00,Geothermal,Residential,,19170.0,2400.0,,,Paid,4.0,,
R00210,Laurel,19956,2007-06-26 00:00:00,Geothermal,Residential,,21920.0,2400.0,,,Paid,4.0,,
R00220,Middletown,19709,2007-06-26 00:00:00,PV,Residential,2.8,25200.0,12600.0,,,Paid,,,
R00222,Middletown,19709,2007-06-26 00:00:00,Wind,Residential,,11600.0,5800.0,,,Paid,,,2.4
R00225,Seaford,19973,2007-06-27 00:00:00,Geothermal,Residential,,20600.0,2400.0,,,Paid,4.0,,
R00228,Hockessin,19707,2007-07-06 00:00:00,PV,Residential,5.4,45000.0,22500.0,,,Paid,,,
R00227,Wilmington,19803,2007-07-06 00:00:00,PV,Residential,4.0,34359.0,17179.5,,,Paid,,,
R00226,Bear,19701,2007-07-06 00:00:00,PV,Residential,5.6,44972.0,22486.0,,,Paid,,,
R00229,Middletown,19709,2007-07-17 00:00:00,PV,Residential,5.2,45000.0,22500.0,,,Paid,,,
R00233,Rehoboth Beach,19971,2007-07-27 00:00:00,Geothermal,Residential,,46689.0,3000.0,,,Paid,11.0,,
