,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
204,1992,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.0000980792122788614
205,1992,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.00021785710240583675
206,1992,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.0001945571985847773
207,1992,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.019399010755375996
208,1992,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.04642028588924999
209,1992,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.05087626515459647
210,1992,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.40572621612312015
211,1992,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.06305776669737019
212,1992,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.11184743737280323
213,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CO2,5.435193657465
214,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CO2,1.5981866852787001
215,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.4742888780974666
216,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,N2O,0.025888005000000002
217,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.003810406799999999
218,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023998535999999996
219,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CH4,0.0014478749999999997
220,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00160365275
221,1993,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000212515
222,1993,Estimate,Electric power - in-state generation,Transmission and Distribution,Non-Energy,N/A,SF6,0.07492567092199104
223,1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.10076718423972182
224,1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.0003945919442192351
225,1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.00004555519734158948
226,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.897734039700037
227,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
228,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.23321052628423075
229,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00002543586540213048
230,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.025539024859474277
231,1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,8.730127250491049E-7
232,1993,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.01066170117842743
233,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.06256178176560004
234,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.533459353363365
235,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,1.046634579325119
236,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00030641587135348957
237,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.007535251307350718
238,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0005421451624783342
239,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000267406
240,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.0001652067539999999
241,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0033072374999999995
242,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0004784674999999999
243,1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00016168075000000002
244,1993,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.1739550762586593
245,1993,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0024107209589689723
246,1993,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.17639310270007014
247,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.019336541700000005
248,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.700164233316314
249,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.45531308257233327
250,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.00009765000000000002
251,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0018306119999999997
252,1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023966100000000004
