Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
5746,middletown,19709,02/03/2015,PV,residential,1500,,,,5980.00,1275.00,rooftop,owned,Paid
5747,Selbyville,19975,02/10/2015,PV,residential,7750,,,,38750.00,4937.50,rooftop,lease,Paid
5749,Felton,19943,03/04/2015,PV,residential,10780,,,,30000.00,5695.00,rooftop,lease,Paid
5751,Milton,19968,11/02/2015,PV,residential,5500,,,,29500.00,4375.00,rooftop,owned,Paid
5752,Milton,19968,06/01/2015,PV,residential,10000,,,,30000.00,5500.00,rooftop,lease,Paid
5753,Rehoboth Beach,19971,02/03/2015,Geothermal,residential,,4,,,24955.00,3000.00,,,Paid
5755,Middletown,19709,02/03/2015,PV,residential,7500,,,,29550.00,4875.00,rooftop,lease,Pending
5757,Wilmington,19808,02/04/2015,PV,residential,4500,,,,16785.00,3825.00,rooftop,lease,Pending
5759,Millsboro,19966,02/04/2015,PV,residential,6250,,,,24625.00,4562.50,rooftop,lease,Pending
5760,Magnolia,19962,04/07/2015,PV,residential,9150,,,,25000.00,5287.50,rooftop,owned,Paid
5762,Bear,19701,02/04/2015,PV,residential,5750,,,,21448.00,4437.50,rooftop,lease,Unpaid
5764,Lewes,19958,03/18/2015,PV,residential,5500,,,,17250.00,4375.00,ground,owned,Paid
5766,Newark,19702,02/05/2015,PV,residential,7000,,,,27580.00,4750.00,rooftop,lease,Unpaid
5770,Bethany Beach,19930,02/12/2015,PV,residential,10500,,,,34125.00,5625.00,rooftop,owned,Paid
5772,Wilmington,19808,02/05/2015,PV,residential,2040,,,,33150.00,1734.00,rooftop,lease,Paid
5775,New Castle,19720,02/05/2015,PV,residential,4590,,,,22950.00,3901.50,rooftop,lease,Unpaid
5776,Middletown,19709,02/05/2015,PV,residential,5610,,,,28050.00,4402.50,rooftop,lease,Paid
5777,Camden,19934,02/05/2015,PV,residential,8415,,,,42075.00,5103.75,rooftop,lease,Paid
5778,Townsend,19734,02/06/2015,PV,residential,4590,,,,22950.00,3901.50,rooftop,lease,Paid
5779,Millsboro,19966,02/06/2015,PV,residential,8160,,,,40800.00,5040.00,rooftop,ppa,Paid
5784,Rehoboth Beach,19971,07/21/2016,PV,residential,6500,,,,29500.00,4625.00,rooftop,owned,Paid
5787,Milton,19968,07/20/2015,PV,residential,4080,,,,23000.00,3468.00,rooftop,owned,Paid
5788,Rehoboth Beach,19971,02/06/2015,PV,residential,9250,,,,27448.00,5312.50,rooftop,owned,Paid
5789,Wilmington,19803,02/10/2015,PV,residential,4480,,,,15631.00,3808.00,rooftop,owned,Paid
5790,Lewes,19958,03/10/2015,PV,non_residential,18150,,,,46000.00,7537.50,rooftop,owned,Unpaid
5791,Millsboro,19966,02/26/2016,PV,residential,6120,,,,54825.00,4530.00,rooftop,ppa,Paid
5793,Middletown,19709,02/10/2015,PV,residential,9000,,,,33570.00,5250.00,rooftop,lease,Pending
5794,Wilmington,19808,02/09/2015,PV,residential,4845,,,,24225.00,4118.25,rooftop,lease,Paid
5796,Wilmington,19805,02/09/2015,PV,residential,3060,,,,20400.00,2601.00,rooftop,ppa,Paid
5797,New Castle,19720,02/09/2015,PV,residential,6120,,,,42075.00,4530.00,rooftop,lease,Paid
5798,Dover,19901,02/09/2015,PV,residential,3500,,,,17500.00,2975.00,rooftop,ppa,Paid
5806,Magnolia,19962,02/10/2015,PV,residential,6750,,,,27580.00,4687.50,rooftop,lease,Pending
5809,Milton,19966,04/16/2015,PV,residential,5500,,,,29500.00,4375.00,rooftop,owned,Paid
5810,Lewes,19958,02/10/2015,PV,residential,7395,,,,36975.00,4848.75,rooftop,lease,Paid
5811,Millsboro,19966,02/10/2015,PV,residential,6885,,,,34425.00,4721.25,rooftop,lease,Paid
5813,Newark,19713,02/10/2015,PV,residential,6760,,,,25215.00,4690.00,rooftop,lease,Pending
5815,Middletown,19709,02/10/2015,PV,residential,9000,,,,45000.00,5250.00,rooftop,lease,Paid
5818,Milton,19968,02/11/2015,PV,residential,11515,,,,45369.00,5878.75,rooftop,lease,Pending
5819,Newark,19711,02/10/2015,PV,residential,7000,,,,35000.00,4750.00,rooftop,ppa,Paid
5821,Wilmington,19805,02/10/2015,PV,residential,5250,,,,19583.00,4312.50,rooftop,lease,Pending
5823,Wilmington,19803,02/11/2015,PV,residential,5250,,,,19583.00,4312.50,rooftop,lease,Pending
5825,Bear,19701,02/24/2015,PV,residential,7280,,,,24994.00,4820.00,rooftop,owned,Paid
5826,Seaford,19973,02/11/2015,PV,residential,10750,,,,53750.00,5687.50,rooftop,lease,Paid
5827,Rehoboth Beach,19971,02/11/2015,PV,residential,12250,,,,61250.00,6062.50,rooftop,lease,Unpaid
5828,Lewes,19958,02/11/2015,Geothermal,residential,,6,,,30250.00,4400.00,,,Paid
5829,Dover,19901,02/11/2015,PV,residential,8000,,,,40000.00,5000.00,rooftop,lease,Paid
5830,Wilmington,19808,02/11/2015,PV,residential,6375,,,,31875.00,4593.75,rooftop,lease,Paid
5831,Harrington,19952,03/09/2015,PV,non_residential,50000,,,,160800.00,15500.00,ground,owned,Paid
5832,Millsboro,19966,03/09/2015,PV,residential,10080,,,,50400.00,5520.00,rooftop,ppa,Paid
5833,Middletown,19709,02/12/2015,PV,residential,9945,,,,49725.00,5486.25,rooftop,lease,Paid
5834,Rehoboth Beach,19971,02/12/2015,PV,residential,10000,,,,50000.00,5500.00,rooftop,ppa,Paid
5835,Lewes,19958,02/12/2015,PV,residential,8000,,,,40000.00,5000.00,rooftop,ppa,Paid
5836,Bethany Beach,19930,02/12/2015,PV,residential,6000,,,,45000.00,4500.00,rooftop,lease,Paid
5837,New Castle,19720,02/12/2015,PV,residential,4250,,,,21250.00,3612.50,rooftop,ppa,Paid
5839,Rehoboth Beach,19971,02/13/2015,PV,residential,9750,,,,48750.00,5437.50,rooftop,ppa,Paid
5841,Wilmington,19810,02/17/2015,PV,residential,8500,,,,33490.00,5125.00,rooftop,lease,Pending
5842,Wilmington,19808,02/13/2015,PV,residential,6500,,,,32500.00,4625.00,rooftop,ppa,Paid
5843,New Castle,19720,02/13/2015,PV,residential,3315,,,,16575.00,2817.75,rooftop,ppa,Paid
5844,Delaware City,19706,02/13/2015,PV,residential,7140,,,,47175.00,4785.00,rooftop,lease,Paid
5845,Rehoboth Beach,19971,04/02/2015,Geothermal,residential,,4,,,42477.00,3000.00,,,Paid
5848,Selbyville,19975,03/06/2015,PV,residential,13440,,,,37000.00,6360.00,rooftop,owned,Paid
5849,Rehoboth Beach,19971,04/01/2015,Geothermal,residential,,4,,,31425.00,3000.00,,,Paid
5851,Millsboro,19966,02/19/2015,PV,residential,10750,,,,42355.00,5687.50,rooftop,lease,Pending
5853,New Castle,19720,02/17/2015,PV,residential,7500,,,,27975.00,4875.00,rooftop,lease,Unpaid
5855,Middletown,19709,02/18/2015,PV,residential,10500,,,,41370.00,5625.00,rooftop,lease,Pending
5856,New Castle,19720,02/18/2015,PV,residential,8000,,,,40000.00,5000.00,rooftop,ppa,Paid
5858,Middletown,19709,02/18/2015,PV,residential,8500,,,,31705.00,5125.00,rooftop,lease,Pending
5859,Middletown,19709,02/18/2015,PV,residential,6630,,,,33150.00,4657.50,rooftop,lease,Paid
5860,Milford,19963,02/18/2015,PV,residential,12240,,,,61200.00,6060.00,rooftop,lease,Paid
