district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
16,2023,4,66638.0,2,5760.0,16400.0,1/4/23,2.85,4.06
17,2023,4,43380.0,1,7268.0,9085.0,1/4/23,1.25,4.77
18,2023,4,89681.0,2,11848.0,15860.0,1/4/23,1.34,5.65
20,2023,4,158634.0,6,36592.0,46760.0,1/4/23,1.28,3.39
21,2023,4,263822.0,4,29256.0,59030.0,1/4/23,2.02,4.47
3,2023,5,324310.0,7,42648.0,75150.0,1/5/23,1.76,4.32
4,2023,5,45250.0,2,15040.0,19750.0,1/5/23,1.31,2.29
5,2023,5,77370.0,2,27800.0,18965.0,1/5/23,0.68,4.08
6,2023,5,144009.0,4,27280.0,52365.0,1/5/23,1.92,2.75
8,2023,5,698076.0,18,107388.0,183540.0,1/5/23,1.71,3.8
10,2023,5,743720.0,21,146228.0,220925.0,1/5/23,1.51,3.37
13,2023,5,859673.0,21,142868.0,215815.0,1/5/23,1.51,3.98
14,2023,5,308123.0,6,42784.0,76315.0,1/5/23,1.78,4.04
15,2023,5,30945.0,1,2916.0,7290.0,1/5/23,2.5,4.24
17,2023,5,126664.0,3,19552.5,27360.0,1/5/23,1.4,4.63
18,2023,5,19200.0,1,3504.0,6570.0,1/5/23,1.88,2.92
20,2023,5,176143.0,6,40184.0,54440.0,1/5/23,1.35,3.24
3,2023,6,709051.0,19,107216.0,174570.0,1/6/23,1.63,4.06
4,2023,6,46950.0,3,16161.92,20202.4,1/6/23,1.25,2.32
6,2023,6,323117.0,10,64528.0,104270.0,1/6/23,1.62,3.1
8,2023,6,1262509.0,30,206320.5,340040.0,1/6/23,1.65,3.71
10,2023,6,1055418.0,33,235868.0,348370.0,1/6/23,1.48,3.03
13,2023,6,919669.0,20,134008.5,224295.0,1/6/23,1.67,4.1
14,2023,6,322230.0,10,55747.2,70884.0,1/6/23,1.27,4.55
15,2023,6,125662.0,3,16720.0,29170.0,1/6/23,1.74,4.31
16,2023,6,86592.0,3,12740.0,29300.0,1/6/23,2.3,2.96
17,2023,6,80557.0,2,16000.0,43360.0,1/6/23,2.71,1.86
18,2023,6,94859.0,3,23498.0,16165.0,1/6/23,0.69,5.87
19,2023,6,59160.0,1,8000.0,25500.0,1/6/23,3.19,2.32
20,2023,6,355659.0,12,79928.0,120660.0,1/6/23,1.51,2.95
3,2023,7,1601220.0,33,194050.0,343845.0,1/7/23,1.77,4.66
4,2023,7,282300.0,8,53394.0,96255.0,1/7/23,1.8,2.93
5,2023,7,302855.0,7,41760.0,67835.0,1/7/23,1.62,4.46
6,2023,7,500271.0,15,97264.5,180700.0,1/7/23,1.86,2.77
8,2023,7,1477938.0,42,273196.5,425275.0,1/7/23,1.56,3.48
10,2023,7,1644927.0,51,326891.6,497032.0,1/7/23,1.52,3.31
12,2023,7,134795.0,2,12630.5,30030.0,1/7/23,2.38,4.49
13,2023,7,1388790.0,30,190056.9,323843.0,1/7/23,1.7,4.29
14,2023,7,396807.0,10,62042.0,94245.0,1/7/23,1.52,4.21
15,2023,7,303866.0,7,46830.0,86655.0,1/7/23,1.85,3.51
16,2023,7,108333.0,2,13268.0,41870.0,1/7/23,3.16,2.59
17,2023,7,467019.0,10,61906.5,107586.0,1/7/23,1.74,4.34
18,2023,7,186707.0,6,29164.5,46705.0,1/7/23,1.6,4.0
20,2023,7,488907.0,12,83204.0,138275.0,1/7/23,1.66,3.54
21,2023,7,81390.0,2,13552.0,18580.0,1/7/23,1.37,4.38
3,2023,8,553033.0,16,69567.0,127970.0,1/8/23,1.84,4.32
4,2023,8,60000.0,2,11103.0,25810.0,1/8/23,2.32,2.32
5,2023,8,51095.0,2,7280.0,12000.0,1/8/23,1.65,4.26
6,2023,8,191799.0,7,54753.0,66385.0,1/8/23,1.21,2.89
8,2023,8,398358.0,10,47415.0,92010.0,1/8/23,1.94,4.33
10,2023,8,714960.0,18,96503.9,167817.0,1/8/23,1.74,4.26
13,2023,8,585904.0,15,63538.5,115335.0,1/8/23,1.82,5.08
14,2023,8,70403.0,2,10144.0,17120.0,1/8/23,1.69,4.11
16,2023,8,77984.0,3,10969.0,19315.0,1/8/23,1.76,4.04
17,2023,8,179736.0,5,20086.5,36520.0,1/8/23,1.82,4.92
18,2023,8,45932.0,1,6000.0,10800.0,1/8/23,1.8,4.25
20,2023,8,131303.0,3,19008.0,30900.0,1/8/23,1.63,4.25
21,2023,8,73470.0,2,9640.0,15825.0,1/8/23,1.64,4.64
3,2023,9,644752.0,18,77976.5,157915.0,1/9/23,2.03,4.08
4,2023,9,166095.0,3,18000.0,39200.0,1/9/23,2.18,4.24
5,2023,9,74838.0,1,4480.0,15600.0,1/9/23,3.48,4.8
6,2023,9,181893.0,5,32000.0,70450.0,1/9/23,2.2,2.58
8,2023,9,749700.0,19,92602.0,174505.0,1/9/23,1.88,4.3
10,2023,9,463614.0,12,69414.0,138485.0,1/9/23,2.0,3.35
13,2023,9,569842.0,13,80806.5,127615.0,1/9/23,1.58,4.47
14,2023,9,105020.0,3,15660.0,23800.0,1/9/23,1.52,4.41
15,2023,9,50000.0,1,6000.0,14000.0,1/9/23,2.33,3.57
